Year,Month,Country,Product_Reference,Category,Marketing_Campaign_Type,Sales_Units,Marketing_Investment_USD,Sales_Revenue_USD,Production_Cost_USD,Gross_Margin_USD,Marketing_ROI,Waste_Generated_kg
2024,Febrero,Holanda,Chrysal Grow X,Fungicida,Social Media,20893,6751.0,127316.56,57858.21,69458.35,18.86,750.32
2025,Enero,Kenya,Chrysal Flora F,Nutricional,Influencers Agrícolas,6955,,28100.09,18200.66,9899.44,,209.94
2022,Mayo,Ecuador,Chrysal Flora F,Insecticida,Social Media,34287,,222096.76,101783.75,120313.01,,882.49
2024,Mayo,Kenya,Chrysal Flora F,Nutricional,Influencers Agrícolas,21763,6751.0,114488.78,73680.46,40808.32,16.96,982.56
2024,Abril,Colombia,Chrysal Grow X,Insecticida,Field Campaign,21736,6751.0,140394.64,78617.18,61777.45,20.8,582.48
2025,Febrero,Colombia,Chrysal Grow X,Insecticida,Social Media,5226,,33108.23,21276.4,11831.83,,158.42
2022,Enero,Ecuador,Chrysal Flora F,Nutricional,Social Media,24103,6751.0,121059.66,57255.25,63804.4,17.93,1273.59
2022,Abril,Holanda,Chrysal Root R,Insecticida,Field Campaign,28406,,123166.31,67505.2,55661.11,,848.66
2024,Marzo,Ecuador,Chrysal Root R,Insecticida,Social Media,28951,,122902.46,59472.6,63429.86,,689.98
2023,Abril,Kenya,Chrysal Protect Y,Fungicida,Influencers Agrícolas,14567,6751.0,,29817.69,34975.91,9.6,568.74
2024,Abril,Holanda,Chrysal Boost Z,Regulador de crecimiento,Influencers Agrícolas,12108,6751.0,69225.77,39701.38,29524.39,10.25,402.22
2024,Febrero,Colombia,Chrysal Root R,Regulador de crecimiento,Social Media,25570,6751.0,116010.19,57025.59,58984.61,17.18,1301.98
2024,Marzo,Holanda,Chrysal Grow X,Fungicida,Influencers Agrícolas,29372,6751.0,138690.13,78712.11,59978.01,20.54,767.84
2024,Abril,Colombia,Chrysal Root R,Nutricional,E-mail Marketing,3004,,,7113.15,7942.0,,
2025,Enero,Holanda,Chrysal Protect Y,Fertilizante,Social Media,28033,,175647.16,90703.72,84943.44,,2084.93
2022,Enero,Holanda,Chrysal Protect Y,Fertilizante,Field Campaign,22529,6751.0,97130.68,58892.91,38237.77,14.39,1455.51
2025,Mayo,Holanda,Chrysal Boost Z,Fertilizante,E-mail Marketing,31931,6751.0,121771.16,65441.07,56330.08,18.04,1659.44
2025,Marzo,Kenya,Chrysal Root R,Fungicida,Social Media,34670,,137371.56,79064.08,58307.49,,2483.76
2025,Marzo,Kenya,Chrysal Grow X,Fungicida,Field Campaign,22407,,139883.97,81061.58,58822.39,,1382.4
2024,Mayo,Ecuador,Chrysal Grow X,Insecticida,Influencers Agrícolas,25768,,142968.45,88461.87,54506.58,,531.67
2023,Abril,Ecuador,Chrysal Flora F,Fertilizante,Field Campaign,34198,,155163.5,79906.8,75256.69,,1492.59
2022,Marzo,Colombia,Chrysal Grow X,Nutricional,E-mail Marketing,12708,6751.0,54370.16,31940.24,22429.91,8.05,902.99
2023,Enero,Kenya,Chrysal Boost Z,Nutricional,Influencers Agrícolas,27223,,,80339.61,44737.01,,
2025,Enero,Colombia,Chrysal Boost Z,Fertilizante,Social Media,9971,,40980.33,24426.27,16554.06,,220.49
2025,Febrero,Ecuador,Chrysal Grow X,Fertilizante,Influencers Agrícolas,13521,6751.0,85752.06,46989.91,38762.15,12.7,875.77
2023,Marzo,Colombia,Chrysal Grow X,Fertilizante,Social Media,17416,,103056.68,59375.44,43681.25,,1186.42
2023,Abril,Ecuador,Chrysal Flora F,Fungicida,Social Media,8459,,42704.89,25534.82,17170.07,,250.69
2023,Mayo,Kenya,Chrysal Grow X,Fungicida,Field Campaign,12504,6751.0,76717.03,43917.06,32799.97,11.36,653.21
2025,Mayo,Holanda,Chrysal Flora F,Fungicida,Field Campaign,33593,6751.0,150279.53,68127.0,82152.54,22.26,1058.76
2025,Abril,Kenya,Chrysal Flora F,Regulador de crecimiento,Field Campaign,32026,6751.0,183708.36,89825.07,93883.29,27.21,2022.57
2022,Febrero,Colombia,Chrysal Grow X,Nutricional,E-mail Marketing,24652,,150662.12,92219.33,58442.79,,894.7
2022,Mayo,Colombia,Chrysal Protect Y,Nutricional,E-mail Marketing,32882,,156626.03,79022.55,77603.48,,1281.51
2025,Marzo,Kenya,Chrysal Protect Y,Insecticida,Field Campaign,23594,6751.0,137910.56,82237.78,55672.78,20.43,1668.05
2023,Febrero,Kenya,Chrysal Flora F,Fungicida,E-mail Marketing,14179,6751.0,65176.54,34180.15,30996.4,9.65,688.81
2023,Marzo,Ecuador,Chrysal Grow X,Regulador de crecimiento,Influencers Agrícolas,7806,,35961.57,19936.26,16025.31,,469.81
2022,Enero,Colombia,Chrysal Protect Y,Regulador de crecimiento,Influencers Agrícolas,9482,6751.0,,17974.68,20797.73,5.74,
2025,Febrero,Colombia,Chrysal Grow X,Nutricional,E-mail Marketing,34640,6751.0,172789.75,84018.17,88771.58,25.59,1312.18
2022,Mayo,Kenya,Chrysal Grow X,Fungicida,E-mail Marketing,33230,6751.0,191744.48,122992.46,68752.02,28.4,1911.68
2022,Febrero,Holanda,Chrysal Grow X,Insecticida,Influencers Agrícolas,23891,,151435.4,95105.61,56329.79,,699.8
2024,Febrero,Colombia,Chrysal Root R,Fungicida,Social Media,33783,,183450.2,106484.59,76965.61,,1431.72
2024,Febrero,Holanda,Chrysal Grow X,Fertilizante,Influencers Agrícolas,24789,,151968.12,82355.92,69612.2,,806.69
2024,Febrero,Kenya,Chrysal Root R,Fungicida,Influencers Agrícolas,10715,,64512.18,37749.45,26762.73,,661.63
2023,Marzo,Kenya,Chrysal Flora F,Fertilizante,E-mail Marketing,19790,,84464.24,48459.0,36005.24,,1516.95
2025,Enero,Ecuador,Chrysal Protect Y,Fertilizante,Influencers Agrícolas,25534,,130522.33,73576.8,56945.53,,2035.84
2025,Abril,Colombia,Chrysal Protect Y,Insecticida,E-mail Marketing,15624,6751.0,,29697.68,34605.92,9.53,734.59
2025,Febrero,Holanda,Chrysal Protect Y,Nutricional,E-mail Marketing,11833,,66759.58,38490.94,28268.64,,415.95
2025,Mayo,Ecuador,Chrysal Protect Y,Fungicida,Field Campaign,17041,,108461.35,65487.23,42974.12,,793.6
