Sales_order_number,Date,Country,Product_reference,Campaign_ID,Category_product,Sales_revenue_USD,Production_cost_USD,Customer_ID
SO-000001,2024-02-01,Holanda,Chrysal Grow X,4,Fungicida,127316.56,57858.21,1
SO-000002,2025-01-01,Kenya,Chrysal Flora F,3,Nutricional,28100.09,18200.66,2
SO-000003,2022-05-01,Ecuador,Chrysal Flora F,4,Insecticida,222096.76,101783.75,3
SO-000004,2024-05-01,Kenya,Chrysal Flora F,3,Nutricional,114488.78,73680.46,4
SO-000005,2024-04-01,Colombia,Chrysal Grow X,2,Insecticida,140394.64,78617.18,5
SO-000006,2025-02-01,Colombia,Chrysal Grow X,4,Insecticida,33108.23,21276.4,6
SO-000007,2022-01-01,Ecuador,Chrysal Flora F,4,Nutricional,121059.66,57255.25,7
SO-000008,2022-04-01,Holanda,Chrysal Root R,2,Insecticida,123166.31,67505.2,8
SO-000009,2024-03-01,Ecuador,Chrysal Root R,4,Insecticida,122902.46,59472.6,9
SO-000010,2023-04-01,Kenya,Chrysal Protect Y,3,Fungicida,,29817.69,10
SO-000011,2024-04-01,Holanda,Chrysal Boost Z,3,Regulador de crecimiento,69225.77,39701.38,11
SO-000012,2024-02-01,Colombia,Chrysal Root R,4,Regulador de crecimiento,116010.19,57025.59,12
SO-000013,2024-03-01,Holanda,Chrysal Grow X,3,Fungicida,138690.13,78712.11,13
SO-000014,2024-04-01,Colombia,Chrysal Root R,1,Nutricional,,7113.15,14
SO-000015,2025-01-01,Holanda,Chrysal Protect Y,4,Fertilizante,175647.16,90703.72,15
SO-000016,2022-01-01,Holanda,Chrysal Protect Y,2,Fertilizante,97130.68,58892.91,16
SO-000017,2025-05-01,Holanda,Chrysal Boost Z,1,Fertilizante,121771.16,65441.07,17
SO-000018,2025-03-01,Kenya,Chrysal Root R,4,Fungicida,137371.56,79064.08,18
SO-000019,2025-03-01,Kenya,Chrysal Grow X,2,Fungicida,139883.97,81061.58,19
SO-000020,2024-05-01,Ecuador,Chrysal Grow X,3,Insecticida,142968.45,88461.87,20
SO-000021,2023-04-01,Ecuador,Chrysal Flora F,2,Fertilizante,155163.5,79906.8,21
SO-000022,2022-03-01,Colombia,Chrysal Grow X,1,Nutricional,54370.16,31940.24,22
SO-000023,2023-01-01,Kenya,Chrysal Boost Z,3,Nutricional,,80339.61,23
SO-000024,2025-01-01,Colombia,Chrysal Boost Z,4,Fertilizante,40980.33,24426.27,24
SO-000025,2025-02-01,Ecuador,Chrysal Grow X,3,Fertilizante,85752.06,46989.91,25
SO-000026,2023-03-01,Colombia,Chrysal Grow X,4,Fertilizante,103056.68,59375.44,26
SO-000027,2023-04-01,Ecuador,Chrysal Flora F,4,Fungicida,42704.89,25534.82,27
SO-000028,2023-05-01,Kenya,Chrysal Grow X,2,Fungicida,76717.03,43917.06,28
SO-000029,2025-05-01,Holanda,Chrysal Flora F,2,Fungicida,150279.53,68127.0,29
SO-000030,2025-04-01,Kenya,Chrysal Flora F,2,Regulador de crecimiento,183708.36,89825.07,30
SO-000031,2022-02-01,Colombia,Chrysal Grow X,1,Nutricional,150662.12,92219.33,31
SO-000032,2022-05-01,Colombia,Chrysal Protect Y,1,Nutricional,156626.03,79022.55,32
