sales_order_number,fecha,pais,product_reference,campaign_id,category_product,sales_revenue,production_cost_usd
SO-000001,2023-03-23,Kenya,Chrysal Protect Y,3,Nutricional,52807.07,51180.4
SO-000002,2024-12-06,Colombia,Chrysal Grow X,1,Nutricional,93797.01,50638.4
SO-000003,2024-08-19,Kenya,Chrysal Root R,4,Nutricional,77864.99,51530.7
SO-000004,2024-02-05,Kenya,Chrysal Grow X,4,Fertilizante,30000.0,51272.5
SO-000005,2024-01-30,Holanda,Chrysal Root R,2,Nutricional,70709.19,51151.0
SO-000006,2025-02-22,Kenya,Chrysal Protect Y,2,Regulador de creci,30000.0,50970.7
SO-000007,2023-03-20,Ecuador,Chrysal Flora F,1,Nutricional,51642.3,51301.7
SO-000008,2024-09-27,Ecuador,Chrysal Root R,4,Fungicida,120550.44,51160.6
SO-000009,2023-07-03,Kenya,Chrysal Boost Z,4,Insecticida,134746.37,51041.4
SO-000010,2023-03-27,Kenya,Chrysal Protect Y,4,Regulador de creci,43530.31,50551.3
SO-000011,2024-04-25,Ecuador,Chrysal Flora F,2,Fertilizante,70118.25,52185.6
SO-000012,2025-06-08,Colombia,Chrysal Protect Y,1,Nutricional,81278.68,50264.7
SO-000013,2024-11-02,Colombia,Chrysal Root R,1,Fungicida,133436.81,51299.3
SO-000014,2024-11-25,Colombia,Chrysal Protect Y,1,Regulador de creci,65213.93,50775.8
SO-000015,2024-10-16,Kenya,Chrysal Root R,1,Insecticida,65693.48,52231.7
SO-000016,2024-12-17,Holanda,Chrysal Flora F,1,Nutricional,36939.51,50367.6
SO-000017,2024-04-13,Ecuador,Chrysal Boost Z,4,Fertilizante,68756.33,50485.3
SO-000018,2023-04-27,Kenya,Chrysal Protect Y,1,Regulador de creci,101666.05,50321.1
SO-000019,2025-02-04,Holanda,Chrysal Grow X,1,Regulador de creci,460455.59,51226.4
SO-000020,2024-02-15,Ecuador,Chrysal Boost Z,4,Insecticida,74863.02,50038.9
SO-000021,2024-04-01,Ecuador,Chrysal Flora F,2,Regulador de creci,30212.09,50665.0
SO-000022,2023-12-05,Holanda,Chrysal Protect Y,4,Fertilizante,38397.36,49493.3
SO-000023,2023-06-16,Holanda,Chrysal Boost Z,3,Nutricional,492251.9,51168.3
SO-000024,2025-04-25,Holanda,Chrysal Flora F,4,Regulador de creci,250524.52,50649.8
SO-000025,2024-12-13,Colombia,Chrysal Flora F,3,Insecticida,70426.83,49958.4
SO-000026,2024-08-10,Colombia,Chrysal Root R,2,Fungicida,57537.51,51759.9
SO-000027,2024-01-03,Ecuador,Chrysal Boost Z,3,Fungicida,73380.32,50084.6
SO-000028,2025-01-20,Holanda,Chrysal Boost Z,2,Fungicida,328949.55,51557.9
SO-000029,2024-05-12,Holanda,Chrysal Protect Y,2,Insecticida,137978.35,50509.3
SO-000030,2024-02-09,Kenya,Chrysal Root R,2,Fertilizante,30000.0,52121.1
SO-000031,2024-02-15,Kenya,Chrysal Root R,1,Regulador de creci,55047.16,51524.7
SO-000032,2023-07-27,Ecuador,Chrysal Flora F,4,Insecticida,84772.89,50294.4
SO-000033,2023-03-26,Ecuador,Chrysal Flora F,2,Fungicida,77034.11,50358.0
SO-000034,2024-05-20,Holanda,Chrysal Flora F,1,Insecticida,30000.0,51423.9
SO-000035,2025-03-20,Holanda,Chrysal Flora F,1,Fertilizante,189970.39,50816.3
SO-000036,2023-02-28,Ecuador,Chrysal Protect Y,4,Insecticida,70853.96,50881.5
SO-000037,2025-02-21,Kenya,Chrysal Protect Y,2,Fertilizante,64194.4,51890.6
SO-000038,2025-01-24,Ecuador,Chrysal Protect Y,3,Fertilizante,72634.96,50475.9
SO-000039,2023-09-10,Colombia,Chrysal Boost Z,4,Fungicida,114462.27,51063.9
SO-000040,2024-07-30,Ecuador,Chrysal Boost Z,1,Nutricional,58039.76,51668.2
SO-000041,2023-05-31,Kenya,Chrysal Root R,4,Fertilizante,78115.8,51566.4
SO-000042,2024-11-22,Colombia,Chrysal Protect Y,2,Regulador de creci,85500.27,50888.3
SO-000043,2024-09-30,Kenya,Chrysal Root R,1,Fungicida,126810.53,50797.8
SO-000044,2023-11-20,Kenya,Chrysal Root R,3,Fertilizante,70990.75,49782.8
SO-000045,2023-03-03,Colombia,Chrysal Boost Z,4,Fertilizante,108764.2,50260.6
SO-000046,2025-06-04,Holanda,Chrysal Boost Z,2,Regulador de creci,181537.26,51222.9
SO-000047,2024-02-11,Ecuador,Chrysal Root R,2,Regulador de creci,78087.37,50903.5
SO-000048,2025-03-25,Holanda,Chrysal Flora F,2,Insecticida,242839.01,51052.4
SO-000049,2024-09-10,Holanda,Chrysal Flora F,2,Fertilizante,191249.53,51727.5
SO-000050,2024-12-10,Holanda,Chrysal Grow X,3,Regulador de creci,244624.83,50168.9
SO-000051,2024-11-24,Holanda,Chrysal Grow X,3,Fungicida,142743.87,50834.7
SO-000052,2023-06-27,Ecuador,Chrysal Root R,3,Nutricional,86930.3,51132.1
SO-000053,2023-11-28,Ecuador,Chrysal Flora F,1,Fertilizante,87058.69,50507.1
SO-000054,2024-03-01,Colombia,Chrysal Flora F,3,Fertilizante,46243.29,52002.0
SO-000055,2024-03-29,Ecuador,Chrysal Grow X,3,Insecticida,50975.3,51636.0
SO-000056,2023-02-09,Ecuador,Chrysal Flora F,3,Fungicida,144303.4,51203.1
SO-000057,2024-05-13,Holanda,Chrysal Grow X,1,Fertilizante,158811.46,52256.0
SO-000058,2023-05-21,Ecuador,Chrysal Boost Z,2,Fertilizante,56756.84,49950.8
SO-000059,2024-11-08,Colombia,Chrysal Flora F,2,Regulador de creci,122932.97,50994.6
SO-000060,2024-09-14,Ecuador,Chrysal Grow X,1,Nutricional,88454.26,51256.4
