Marketing_cost,Campaign_ID,Marketing_campaign_type
<<<<<<< HEAD
11000.0,4,Social Media
3000.0,3,Influencers Agro
11000.0,4,Social Media
3000.0,3,Influencers Agro
60000.0,2,Field Campaign
60000.0,2,Field Campaign
4000.0,1,Email Marketing
4000.0,1,Email Marketing
=======
6751.0,4,Social Media
,3,Influencers Agrícolas
,4,Social Media
6751.0,3,Influencers Agrícolas
6751.0,2,Field Campaign
,2,Field Campaign
,1,E-mail Marketing
6751.0,1,E-mail Marketing
>>>>>>> bd369dad7841380563727b8ade86ca380fa89324
