Sales_order_number,Product_reference,Production_cost,Waste_kg,Disposal_waste_cost
SO-000001,Chrysal Grow X,57858.21,750.32,375.16
SO-000002,Chrysal Flora F,18200.66,209.94,104.97
SO-000003,Chrysal Flora F,101783.75,882.49,441.245
SO-000004,Chrysal Flora F,73680.46,982.56,491.28
SO-000005,Chrysal Grow X,78617.18,582.48,291.24
SO-000006,Chrysal Grow X,21276.4,158.42,79.21
SO-000007,Chrysal Flora F,57255.25,1273.59,636.795
SO-000008,Chrysal Root R,67505.2,848.66,424.33
SO-000009,Chrysal Root R,59472.6,689.98,344.99
SO-000010,Chrysal Protect Y,29817.69,568.74,284.37
SO-000011,Chrysal Boost Z,39701.38,402.22,201.11
SO-000012,Chrysal Root R,57025.59,1301.98,650.99
SO-000013,Chrysal Grow X,78712.11,767.84,383.92
SO-000014,Chrysal Root R,7113.15,,
SO-000015,Chrysal Protect Y,90703.72,2084.93,1042.465
SO-000016,Chrysal Protect Y,58892.91,1455.51,727.755
SO-000017,Chrysal Boost Z,65441.07,1659.44,829.72
SO-000018,Chrysal Root R,79064.08,2483.76,1241.88
SO-000019,Chrysal Grow X,81061.58,1382.4,691.2
SO-000020,Chrysal Grow X,88461.87,531.67,265.835
SO-000021,Chrysal Flora F,79906.8,1492.59,746.295
SO-000022,Chrysal Grow X,31940.24,902.99,451.495
SO-000023,Chrysal Boost Z,80339.61,,
SO-000024,Chrysal Boost Z,24426.27,220.49,110.245
SO-000025,Chrysal Grow X,46989.91,875.77,437.885
SO-000026,Chrysal Grow X,59375.44,1186.42,593.21
SO-000027,Chrysal Flora F,25534.82,250.69,125.345
SO-000028,Chrysal Grow X,43917.06,653.21,326.605
SO-000029,Chrysal Flora F,68127.0,1058.76,529.38
SO-000030,Chrysal Flora F,89825.07,2022.57,1011.285
SO-000031,Chrysal Grow X,92219.33,894.7,447.35
SO-000032,Chrysal Protect Y,79022.55,1281.51,640.755
SO-000033,Chrysal Protect Y,82237.78,1668.05,834.025
SO-000034,Chrysal Flora F,34180.15,688.81,344.405
SO-000035,Chrysal Grow X,19936.26,469.81,234.905
SO-000036,Chrysal Protect Y,17974.68,,
SO-000037,Chrysal Grow X,84018.17,1312.18,656.09
SO-000038,Chrysal Grow X,122992.46,1911.68,955.84
SO-000039,Chrysal Grow X,95105.61,699.8,349.9
SO-000040,Chrysal Root R,106484.59,1431.72,715.86
SO-000041,Chrysal Grow X,82355.92,806.69,403.345
SO-000042,Chrysal Root R,37749.45,661.63,330.815
SO-000043,Chrysal Flora F,48459.0,1516.95,758.475
SO-000044,Chrysal Protect Y,73576.8,2035.84,1017.92
SO-000045,Chrysal Protect Y,29697.68,734.59,367.295
SO-000046,Chrysal Protect Y,38490.94,415.95,207.975
SO-000047,Chrysal Protect Y,65487.23,793.6,396.8
SO-000048,Chrysal Protect Y,18233.42,477.36,238.68
SO-000049,Chrysal Protect Y,31334.52,387.84,193.92
SO-000050,Chrysal Protect Y,91398.11,2147.57,1073.785
SO-000051,Chrysal Flora F,60576.63,808.9,404.45
SO-000052,Chrysal Grow X,58424.2,1774.9,887.45
SO-000053,Chrysal Boost Z,63080.67,1960.14,980.07
SO-000054,Chrysal Root R,41360.88,1358.57,679.285
SO-000055,Chrysal Boost Z,54339.98,928.91,464.455
SO-000056,Chrysal Boost Z,63211.25,,
SO-000057,Chrysal Grow X,8746.12,117.28,58.64
SO-000058,Chrysal Grow X,6165.48,97.44,48.72
SO-000059,Chrysal Grow X,110202.67,701.17,350.585
SO-000060,Chrysal Protect Y,6369.12,96.42,48.21
SO-000061,Chrysal Flora F,36950.86,,
SO-000062,Chrysal Protect Y,3163.55,75.03,37.515
SO-000063,Chrysal Flora F,88574.07,1642.65,821.325
SO-000064,Chrysal Flora F,29867.46,261.85,130.925
SO-000065,Chrysal Boost Z,59047.01,2249.1,1124.55
SO-000066,Chrysal Boost Z,55660.62,782.64,391.32
SO-000067,Chrysal Flora F,79986.85,1364.07,682.035
SO-000068,Chrysal Flora F,18206.72,358.51,179.255
SO-000069,Chrysal Protect Y,55672.4,1909.16,954.58
SO-000070,Chrysal Protect Y,38442.01,383.57,191.785
SO-000071,Chrysal Boost Z,54092.43,1331.69,665.845
SO-000072,Chrysal Grow X,43369.75,788.72,394.36
SO-000073,Chrysal Flora F,60672.11,877.07,438.535
SO-000074,Chrysal Protect Y,119477.75,1849.29,924.645
SO-000075,Chrysal Boost Z,98675.74,2362.68,1181.34
SO-000076,Chrysal Protect Y,24116.44,691.99,345.995
SO-000077,Chrysal Flora F,49081.15,356.62,178.31
SO-000078,Chrysal Flora F,33526.38,392.04,196.02
SO-000079,Chrysal Root R,57668.37,940.13,470.065
SO-000080,Chrysal Grow X,19763.05,274.72,137.36
SO-000081,Chrysal Root R,84182.51,775.04,387.52
SO-000082,Chrysal Boost Z,85620.69,1025.22,512.61
SO-000083,Chrysal Protect Y,99127.63,2447.48,1223.74
SO-000084,Chrysal Boost Z,3082.6,106.58,53.29
SO-000085,Chrysal Flora F,87504.92,786.13,393.065
SO-000086,Chrysal Root R,82913.9,1055.48,527.74
SO-000087,Chrysal Root R,10901.93,196.82,98.41
SO-000088,Chrysal Root R,84876.37,989.05,494.525
SO-000089,Chrysal Boost Z,72618.84,2012.78,1006.39
SO-000090,Chrysal Flora F,64764.94,1757.94,878.97
SO-000091,Chrysal Protect Y,28899.0,1059.91,529.955
SO-000092,Chrysal Protect Y,47210.86,1651.26,825.63
SO-000093,Chrysal Boost Z,10880.05,194.19,97.095
SO-000094,Chrysal Root R,12508.65,365.12,182.56
SO-000095,Chrysal Grow X,28078.31,346.57,173.285
SO-000096,Chrysal Boost Z,64706.38,1133.68,566.84
SO-000097,Chrysal Boost Z,42699.22,966.99,483.495
SO-000098,Chrysal Flora F,24196.18,251.98,125.99
SO-000099,Chrysal Protect Y,35892.17,397.94,198.97
SO-000100,Chrysal Boost Z,37016.26,412.93,206.465
SO-000101,Chrysal Boost Z,48891.52,1823.08,911.54
SO-000102,Chrysal Root R,76266.06,755.68,377.84
SO-000103,Chrysal Root R,90532.91,1199.53,599.765
SO-000104,Chrysal Grow X,69700.11,1224.66,612.33
SO-000105,Chrysal Flora F,46822.94,1385.36,692.68
SO-000106,Chrysal Grow X,86963.45,771.94,385.97
SO-000107,Chrysal Root R,34145.41,1021.38,510.69
SO-000108,Chrysal Protect Y,68085.05,1413.65,706.825
SO-000109,Chrysal Root R,56802.93,1278.47,639.235
SO-000110,Chrysal Flora F,59087.3,1137.52,568.76
SO-000111,Chrysal Root R,24591.94,188.05,94.025
SO-000112,Chrysal Flora F,9087.26,176.8,88.4
SO-000113,Chrysal Flora F,33135.12,,
SO-000114,Chrysal Flora F,66810.86,505.55,252.775
SO-000115,Chrysal Flora F,78183.95,935.73,467.865
SO-000116,Chrysal Flora F,61595.87,1069.34,534.67
SO-000117,Chrysal Protect Y,14907.59,204.06,102.03
SO-000118,Chrysal Grow X,48321.94,1486.78,743.39
SO-000119,Chrysal Boost Z,37108.45,580.17,290.085
SO-000120,Chrysal Grow X,34496.11,674.03,337.015
SO-000121,Chrysal Flora F,12686.14,329.21,164.605
SO-000122,Chrysal Protect Y,82806.54,1834.4,917.2
SO-000123,Chrysal Root R,91939.04,1083.39,541.695
SO-000124,Chrysal Protect Y,61237.5,829.88,414.94
SO-000125,Chrysal Flora F,55497.34,1508.97,754.485
SO-000126,Chrysal Protect Y,38220.67,905.52,452.76
SO-000127,Chrysal Protect Y,5800.36,83.0,41.5
SO-000128,Chrysal Flora F,40919.02,,
SO-000129,Chrysal Protect Y,8886.65,226.13,113.065
SO-000130,Chrysal Boost Z,96658.24,1147.45,573.725
SO-000131,Chrysal Boost Z,63803.88,1564.97,782.485
SO-000132,Chrysal Protect Y,58353.05,981.7,490.85
SO-000133,Chrysal Root R,6657.51,144.42,72.21
SO-000134,Chrysal Flora F,56030.36,1368.95,684.475
SO-000135,Chrysal Boost Z,92670.72,1719.44,859.72
SO-000136,Chrysal Root R,48689.29,1508.76,754.38
SO-000137,Chrysal Protect Y,96748.31,2336.95,1168.475
SO-000138,Chrysal Root R,33843.68,454.79,227.395
SO-000139,Chrysal Grow X,94903.53,911.97,455.985
SO-000140,Chrysal Boost Z,15548.63,98.12,49.06
SO-000141,Chrysal Protect Y,59994.69,1326.83,663.415
SO-000142,Chrysal Flora F,49504.39,1529.44,764.72
SO-000143,Chrysal Protect Y,45737.73,663.16,331.58
SO-000144,Chrysal Flora F,13669.71,169.84,84.92
SO-000145,Chrysal Protect Y,39558.95,260.94,130.47
SO-000146,Chrysal Root R,58781.61,1239.92,619.96
SO-000147,Chrysal Root R,4394.28,73.69,36.845
SO-000148,Chrysal Root R,45109.62,715.2,357.6
SO-000149,Chrysal Grow X,60170.36,1280.66,640.33
SO-000150,Chrysal Flora F,102342.27,2174.28,1087.14
SO-000151,Chrysal Root R,69143.8,1972.15,986.075
SO-000152,Chrysal Grow X,66361.55,,
SO-000153,Chrysal Flora F,32714.61,409.3,204.65
SO-000154,Chrysal Protect Y,27795.32,510.76,255.38
SO-000155,Chrysal Grow X,52448.31,,
SO-000156,Chrysal Boost Z,76123.99,2084.7,1042.35
SO-000157,Chrysal Grow X,52954.7,728.44,364.22
SO-000158,Chrysal Grow X,70402.38,562.37,281.185
SO-000159,Chrysal Flora F,66051.88,,
SO-000160,Chrysal Protect Y,45280.68,587.04,293.52
