Sales_order_number,Product_reference,Waste_kg,Disposal_waste_cost
SO-000001,Chrysal Grow X,750.32,375.16
SO-000002,Chrysal Flora F,209.94,104.97
SO-000003,Chrysal Flora F,882.49,441.245
SO-000004,Chrysal Flora F,982.56,491.28
SO-000005,Chrysal Grow X,582.48,291.24
SO-000006,Chrysal Grow X,158.42,79.21
SO-000007,Chrysal Flora F,1273.59,636.795
SO-000008,Chrysal Root R,848.66,424.33
SO-000009,Chrysal Root R,689.98,344.99
SO-000010,Chrysal Protect Y,568.74,284.37
SO-000011,Chrysal Boost Z,402.22,201.11
SO-000012,Chrysal Root R,1301.98,650.99
SO-000013,Chrysal Grow X,767.84,383.92
SO-000014,Chrysal Root R,,403.345
SO-000015,Chrysal Protect Y,2084.93,1042.465
SO-000016,Chrysal Protect Y,1455.51,727.755
SO-000017,Chrysal Boost Z,1659.44,829.72
SO-000018,Chrysal Root R,2483.76,1241.88
SO-000019,Chrysal Grow X,1382.4,691.2
SO-000020,Chrysal Grow X,531.67,265.835
SO-000021,Chrysal Flora F,1492.59,746.295
SO-000022,Chrysal Grow X,902.99,451.495
SO-000023,Chrysal Boost Z,,403.345
SO-000024,Chrysal Boost Z,220.49,110.245
SO-000025,Chrysal Grow X,875.77,437.885
SO-000026,Chrysal Grow X,1186.42,593.21
SO-000027,Chrysal Flora F,250.69,125.345
SO-000028,Chrysal Grow X,653.21,326.605
SO-000029,Chrysal Flora F,1058.76,529.38
SO-000030,Chrysal Flora F,2022.57,1011.285
SO-000031,Chrysal Grow X,894.7,447.35
SO-000032,Chrysal Protect Y,1281.51,640.755
SO-000033,Chrysal Protect Y,1668.05,834.025
SO-000034,Chrysal Flora F,688.81,344.405
SO-000035,Chrysal Grow X,469.81,234.905
SO-000036,Chrysal Protect Y,,403.345
SO-000037,Chrysal Grow X,1312.18,656.09
SO-000038,Chrysal Grow X,1911.68,955.84
SO-000039,Chrysal Grow X,699.8,349.9
SO-000040,Chrysal Root R,1431.72,715.86
SO-000041,Chrysal Grow X,806.69,403.345
SO-000042,Chrysal Root R,661.63,330.815
SO-000043,Chrysal Flora F,1516.95,758.475
SO-000044,Chrysal Protect Y,2035.84,1017.92
SO-000045,Chrysal Protect Y,734.59,367.295
SO-000046,Chrysal Protect Y,415.95,207.975
SO-000047,Chrysal Protect Y,793.6,396.8
SO-000048,Chrysal Protect Y,477.36,238.68
SO-000049,Chrysal Protect Y,387.84,193.92
SO-000050,Chrysal Protect Y,2147.57,1073.785
SO-000051,Chrysal Flora F,808.9,404.45
SO-000052,Chrysal Grow X,1774.9,887.45
SO-000053,Chrysal Boost Z,1960.14,980.07
SO-000054,Chrysal Root R,1358.57,679.285
SO-000055,Chrysal Boost Z,928.91,464.455
SO-000056,Chrysal Boost Z,,403.345
SO-000057,Chrysal Grow X,117.28,58.64
SO-000058,Chrysal Grow X,97.44,48.72
SO-000059,Chrysal Grow X,701.17,350.585
SO-000060,Chrysal Protect Y,96.42,48.21
SO-000061,Chrysal Flora F,,403.345
SO-000062,Chrysal Protect Y,75.03,37.515
SO-000063,Chrysal Flora F,1642.65,821.325
SO-000064,Chrysal Flora F,261.85,130.925
SO-000065,Chrysal Boost Z,2249.1,1124.55
SO-000066,Chrysal Boost Z,782.64,391.32
SO-000067,Chrysal Flora F,1364.07,682.035
SO-000068,Chrysal Flora F,358.51,179.255
SO-000069,Chrysal Protect Y,1909.16,954.58
SO-000070,Chrysal Protect Y,383.57,191.785
SO-000071,Chrysal Boost Z,1331.69,665.845
SO-000072,Chrysal Grow X,788.72,394.36
SO-000073,Chrysal Flora F,877.07,438.535
SO-000074,Chrysal Protect Y,1849.29,924.645
SO-000075,Chrysal Boost Z,2362.68,1181.34
SO-000076,Chrysal Protect Y,691.99,345.995
SO-000077,Chrysal Flora F,356.62,178.31
SO-000078,Chrysal Flora F,392.04,196.02
SO-000079,Chrysal Root R,940.13,470.065
SO-000080,Chrysal Grow X,274.72,137.36
SO-000081,Chrysal Root R,775.04,387.52
SO-000082,Chrysal Boost Z,1025.22,512.61
SO-000083,Chrysal Protect Y,2447.48,1223.74
SO-000084,Chrysal Boost Z,106.58,53.29
SO-000085,Chrysal Flora F,786.13,393.065
SO-000086,Chrysal Root R,1055.48,527.74
SO-000087,Chrysal Root R,196.82,98.41
SO-000088,Chrysal Root R,989.05,494.525
SO-000089,Chrysal Boost Z,2012.78,1006.39
SO-000090,Chrysal Flora F,1757.94,878.97
SO-000091,Chrysal Protect Y,1059.91,529.955
SO-000092,Chrysal Protect Y,1651.26,825.63
SO-000093,Chrysal Boost Z,194.19,97.095
SO-000094,Chrysal Root R,365.12,182.56
SO-000095,Chrysal Grow X,346.57,173.285
SO-000096,Chrysal Boost Z,1133.68,566.84
SO-000097,Chrysal Boost Z,966.99,483.495
SO-000098,Chrysal Flora F,251.98,125.99
